,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average yield: Kg per hectare,,
District,1979,,,,1980,,,,1981,,,,1982,,,,1983,,,,1984,,,,1985,,,,1986,,,,1987,,,,1988,,,,1989,,,,1990,,,,1991,,,,1992,,,,1993,,,,1994,,,,1995,,,,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,,,
,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,major,minor,rainfed,Total,major,minor,rainfed,Total,major,minor,rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total
COLOMBO,-,-,-,"2,026",-,-,-,"2,139",-,-,-,"2,311",-,-,-,"2,667",-,-,-,"1,779",-,"1,325","2,301","2,287",-,"3,512","2,438","2,478",-,"3,100","2,808","2,841",-,"2,234","2,274","2,269",0,"2,860","2,916","2,908",0,"1,806","2,321","2,251",0,"2,033","2,555","2,477",0,"1,711","2,064","2,013",0,"2,588","1,440","1,602",0,"2,228","2,144","2,150",0,"2,243","2,122","2,136",-,"1,885","1,789","1,796","2,744","1,752","2,081","2,080","2,013","2,589","1,979","2,032","3,176","2,064","2,626","2,532","3,644","2,437","2,510","2,517","2,475","2,915","2,691","2,733","3,516","2,812","2,626","2,698","3,477","2,216","2,517","2,464","3,777","2,227","2,379","2,318","3,323","2,532","2,549","2,562"," 2,138 "," 2,252 "," 2,506 "," 2,431 "," 2,702 "," 2,702 "," 2,502 "," 2,537 "," 3,250 "," 3,250 "," 3,377 "," 3,346 "," 2,959 "," 2,777 "," 3,282 "," 3,172 "," 2,957 "," 2,957 "," 3,018 "," 3,004 "," 3,523 "," 3,769 "," 3,059 "," 3,209 "," 3,441 "," 3,364 "," 2,893 "," 2,999 "," 3,196 "," 3,195 "," 2,931 "," 3,002 "," 3,145 "," 2,755 "," 2,422 "," 2,522 "," 3,171 "," 3,089 "," 3,066 "," 3,073 "," 2,675 "," 2,874 "," 2,118 "," 2,275 "," 2,463 "," 2,236 "," 2,703 "," 2,567 "," 2,584 "," 2,627 "," 2,755 "," 2,720 "," 2,724 "," 3,481 "," 3,289 "," 3,259 "," 3,534 "," 3,628 "," 2,872 "," 3,064 "," 3,060 "," 4,134 "," 3,095 "," 3,281 "," 2,606 "," 2,795 "," 2,372 "," 2,455 "," 3,114 "," 2,187 "," 2,093 "," 2,207 "," 2,133 "," 2,542 "," 2,372 "," 2,371 ",2322,1930,1929,1975
GAMPAHA,-,-,-,"2,228",-,-,-,"3,350",-,-,-,"2,566",-,-,-,"2,771",-,-,-,"2,827","3,379","2,802","2,573","2,695","3,078","2,473","2,779","2,803","2,347","2,685","2,836","2,764","3,457","3,594","3,150","3,235","2,967","3,378","2,692","2,797","2,524","2,781","2,710","2,689","2,774","3,219","2,539","2,665","2,418","2,322","2,136","2,188","4,236","2,925","2,652","2,863","3,760","1,983","2,447","2,525","2,972","2,905","2,271","2,416","2,421","2,958","2,248","2,331","3,614","2,596","2,874","2,885","2,915","2,634","2,931","2,902","1,615","2,322","2,044","2,014","3,300","3,091","3,102","3,120","3,341","2,421","2,745","2,770","3,925","2,692","2,544","2,810","3,126","2,428","2,846","2,817","3,252","2,291","2,320","2,459","3,061","3,055","2,650","2,825"," 3,369 "," 3,261 "," 2,441 "," 2,741 "," 2,839 "," 2,818 "," 2,526 "," 2,659 "," 3,297 "," 2,714 "," 3,800 "," 3,656 "," 3,182 "," 3,262 "," 3,255 "," 3,243 "," 3,680 "," 3,439 "," 3,257 "," 3,39 "," 3,994 "," 3,529 "," 3,648 "," 3,687 "," 3,802 "," 3,488 "," 3,148 "," 3,415 "," 3,744 "," 3,148 "," 2,912 "," 3,258 "," 3,615 "," 2,736 "," 2,585 "," 2,934 "," 3,720 "," 3,124 "," 2,882 "," 3,179 "," 3,390 "," 3,164 "," 3,213 "," 3,252 "," 2,962 "," 2,714 "," 2,362 "," 2,703 "," 3,368 "," 2,621 "," 2,203 "," 2,672 "," 3,193 "," 2,532 "," 3,759 "," 3,210 "," 4,031 "," 2,957 "," 3,178 "," 3,250 "," 3,980 "," 3,491 "," 3,233 "," 3,445 "," 3,389 "," 3,118 "," 2,838 "," 2,991 "," 2,604 "," 2,681 "," 2,352 "," 2,493 "," 2,370 "," 3,242 "," 2,424 "," 2,557 ",2736,2440,2957,2831
KALUTARA,-,-,-,"1,690",-,-,-,"1,685",-,-,-,"1,909",-,-,-,"1,847",-,-,-,"2,177",-,"2,463","2,041","2,091",-,"2,304","1,730","1,815","2,387","2,712","2,190","2,264","1,433","2,045","2,030","2,015","1,911","2,493","2,037","2,112","1,998","2,680","2,317","2,418","1,974","2,536","2,427","2,434","1,533","2,015","2,137","2,108","1,905","2,573","2,275","2,319","2,061","2,307","2,018","2,059","2,247","2,408","2,289","2,305","1,727","2,415","2,320","2,327","1,846","2,516","2,131","2,184","2,400","2,791","2,540","2,574","1,967","2,640","2,716","2,696","2,795","2,841","2,436","2,488","2,375","2,802","2,645","2,661","2,576","2,784","2,730","2,734","2,749","2,246","2,526","2,495","2,330","2,749","2,310","2,364","2,942","2,366","2,300","2,312"," 2,437 "," 2,444 "," 2,316 "," 2,335 "," 2,910 "," 2,857 "," 2,665 "," 2,693 "," 2,838 "," 3,446 "," 2,990 "," 3,060 "," 3,332 "," 2,976 "," 2,695 "," 2,743 "," 3,033 "," 2,513 "," 2,969 "," 2,898 "," 2,248 "," 2,842 "," 2,657 "," 2,682 "," 2,596 "," 2,451 "," 2,424 "," 2,430 "," 2,693 "," 2,585 "," 2,362 "," 2,398 "," 2,475 "," 2,639 "," 2,518 "," 2,539 "," 2,589 "," 2,878 "," 2,806 "," 2,817 "," 2,726 "," 3,627 "," 3,478 "," 3,495 "," 3,179 "," 3,204 "," 2,898 "," 2,954 "," 3,123 "," 3,065 "," 3,263 "," 3,228 "," 3,271 "," 3,098 "," 3,019 "," 3,034 "," 3,075 "," 2,926 "," 2,838 "," 2,857 "," 3,643 "," 3,175 "," 3,409 "," 3,380 "," 2,012 "," 2,696 "," 3,130 "," 3,048 "," 3,618 "," 2,593 "," 2,267 "," 2,330 "," 3,122 "," 2,946 "," 2,415 "," 2,487 ",2917,2661,2697,2694
KANDY,-,-,-,"2,795",-,-,-,"2,869",-,-,-,"2,958",-,-,-,"3,529",-,-,-,"3,087","3,320","3,510","3,398","3,417","3,696","3,190","2,933","3,200","3,670","2,922","2,787","3,090","3,574","2,616","2,371","2,804","4,008","2,821","2,697","3,099","4,481","3,153","2,578","3,321","4,035","2,936","2,951","3,205","4,329","2,453","2,452","2,942","4,477","2,360","2,824","3,120","3,404","1,953","1,712","2,258","2,548","2,285","2,785","2,542","4,265","2,582","2,996","3,188","4,266","2,292","2,141","2,873","3,977","2,403","2,984","3,140","4,581","2,256","2,200","3,228","4,488","3,142","3,227","3,568","4,447","3,009","2,586","3,492","4,820","3,081","3,248","3,794","4,927","2,554","2,604","3,449","4,163","3,036","2,726","3,577","4,692","3,622","2,854","3,962"," 4,657 "," 2,494 "," 2,691 "," 3,489 "," 4,627 "," 3,215 "," 3,222 "," 3,895 "," 4,725 "," 2,993 "," 3,407 "," 3,903 "," 4,722 "," 3,125 "," 3,799 "," 3,895 "," 4,160 "," 3,158 "," 3,082 "," 3,545 "," 4,187 "," 3,166 "," 3,250 "," 3,567 "," 4,411 "," 3,492 "," 2,977 "," 3,737 "," 3,942 "," 3,460 "," 2,389 "," 3,642 "," 4,922 "," 2,814 "," 2,543 "," 3,691 "," 4,366 "," 3,375 "," 2,567 "," 3,667 "," 4,039 "," 3,334 "," 3,300 "," 3,647 "," 4,486 "," 2,292 "," 3,048 "," 3,533 "," 5,013 "," 3,084 "," 2,559 "," 4,162 "," 5,247 "," 3,672 "," 3,564 "," 4,197 "," 3,428 "," 3,060 "," 3,953 "," 3,399 "," 5,370 "," 3,046 "," 3,374 "," 4,099 "," 2,579 "," 3,077 "," 3,411 "," 2,945 "," 3,469 "," 3,188 "," 2,881 "," 3,227 "," 4,811 "," 2,846 "," 3,172 "," 3,762 ",2651,3107,2956,2859
MATALE,-,-,-,"2,707",-,-,-,"2,605",-,-,-,"2,864",-,-,-,"3,306",-,-,-,"3,400","3,510","2,845","2,643","2,968","2,704","3,029","2,853","2,943","2,660","2,917","2,486","2,761","3,204","2,242","1,653","2,594","3,024","2,661","2,763","2,831","3,129","2,829","2,697","2,936","2,828","3,154","2,179","2,911","2,890","3,309","2,587","3,090","3,497","3,564","2,525","3,471","3,633","3,754","2,257","3,531","3,351","4,139","3,168","3,876","3,525","3,062","2,716","3,184","3,492","3,138","3,099","3,284","4,256","3,216","2,925","3,687","4,200","2,951","2,647","3,554","3,913","3,799","3,060","3,784","4,121","3,287","2,167","3,627","4,382","2,924","2,702","3,650","3,789","3,328","2,650","3,511","3,712","3,653","3,479","3,668","4,630","3,626","2,523","4,021"," 3,257 "," 3,275 "," 2,519 "," 3,205 "," 3,925 "," 3,228 "," 3,224 "," 3,587 "," 4,661 "," 3,699 "," 2,635 "," 4,086 "," 4,346 "," 3,513 "," 2,629 "," 3,784 "," 4,117 "," 3,386 "," 2,842 "," 3,642 "," 4,993 "," 3,690 "," 3,163 "," 4,292 "," 4,839 "," 3,689 "," 3,286 "," 4,202 "," 4,442 "," 3,200 "," 3,246 "," 3,686 "," 5,197 "," 4,092 "," 2,828 "," 4,617 "," 4,623 "," 3,831 "," 2,865 "," 4,169 "," 4,695 "," 3,774 "," 2,893 "," 4,202 "," 4,987 "," 4,814 "," 3,814 "," 4,886 "," 4,435 "," 4,054 "," 3,319 "," 4,277 "," 4,788 "," 4,510 "," 3,209 "," 4,561 "," 5,524 "," 4,572 "," 3,996 "," 5,259 "," 5,396 "," 4,487 "," 4,169 "," 5,034 "," 5,102 "," 4,063 "," 3,860 "," 4,639 "," 2,723 "," 2,904 "," 2,419 "," 2,768 "," 4,293 "," 3,716 "," 2,527 "," 3,976 ",4893,3962,3103,4500
NUWARA ELIYA,-,-,-,"3,579",-,-,-,"2,853",-,-,-,"2,926",-,-,-,"4,381",-,-,-,"4,129","4,624","3,314",-,"3,564","3,912","3,747",-,"3,774","2,923","3,451",-,"3,386","3,937","4,068",-,"4,044","3,036","3,570",0,"3,474","3,254","3,488",0,"3,446","3,279","2,709",0,"2,802","4,062","3,914",0,"3,935","3,114","3,112",0,"3,112","2,955","3,837",0,"3,612","3,847","3,879",0,"3,871","3,709","3,515",-,"3,561","4,343","3,762",-,"3,842",-,"2,894","3,518","3,250","3,234","2,797","3,168","2,960","3,100","3,356",-,"3,281","3,819","2,981",-,"3,164","4,192","3,678","1,945","3,786","3,684","3,498","3,533","3,540","3,590","3,251","2,836","3,318","4,138","3,486","2,861","3,630"," 2,962 "," 2,881 "," 3,812 "," 2,917 "," 3,229 "," 3,069 "," 3,774 "," 3,120 "," 3,582 "," 3,737 "," 3,737 "," 3,703 "," 3,875 "," 3,636 "," 3,636 "," 3,688 "," 3,070 "," 2,867 "," 2,867 "," 2,913 "," 4,474 "," 4,456 "," 2,604 "," 4,420 "," 4,302 "," 4,209 "," 3,190 "," 4,208 "," 3,569 "," 3,014 "," 2,699 "," 3,087 "," 3,973 "," 2,990 "," 2,681 "," 3,196 "," 4,084 "," 4,332 "," 2,794 "," 4,274 "," 3,787 "," 3,992 "," 2,967 "," 3,943 "," 3,815 "," 3,152 "," 1,656 "," 3,297 "," 4,152 "," 3,447 "," 2,654 "," 3,619 "," 4,317 "," 3,977 "," 3,007 "," 4,041 "," 2,390 "," 2,784 ", - ," 2,715 "," 6,174 "," 4,131 "," 2,439 "," 4,512 "," 4,658 "," 3,745 ", - ," 3,917 "," 4,310 "," 3,530 "," 4,022 "," 3,704 "," 4,177 "," 4,104 "," 3,694 "," 4,119 ",4357,3791,3858,3905
GALLE,-,-,-,"1,375",-,-,-,"1,730",-,-,-,"1,741",-,-,-,"1,683",-,-,-,"1,361",-,"2,183","1,967","1,967",-,624,"1,925","1,924",-,"4,118","2,071","2,073",-,"2,448","1,841","1,842",0,"2,585","2,327","2,328",0,0,"2,162","2,162",0,"2,551","2,537","2,537",0,"2,618","1,906","1,911",0,"2,682","2,376","2,379",0,"2,429","1,888","1,889",0,"2,863","2,131","2,134",-,"2,573","2,095","2,097",-,"2,740","2,211","2,213",-,"2,230","2,323","2,323",-,"3,192","2,294","2,302",-,"1,939","2,671","2,665",-,"3,430","2,618","2,623",-,"1,896","2,621","2,617",-,"2,687","2,606","2,607",-,"2,101","2,608","2,604",-,"3,159","3,159","3,159", - ," 3,499 "," 2,783 "," 2,788 ", - ," 4,205 "," 2,720 "," 2,728 ", - ," 3,169 "," 3,263 "," 3,262 ", - ," 3,942 "," 3,021 "," 3,027 ", - ," 3,013 "," 2,997 "," 2,997 "," 3,509 "," 3,398 "," 2,937 "," 2,943 "," 3,533 "," 3,122 "," 2,919 "," 2,924 "," 3,075 "," 3,075 "," 3,075 "," 3,075 "," 3,919 "," 2,657 "," 2,663 "," 2,670 ", - ," 2,609 "," 2,739 "," 2,735 "," 2,636 "," 2,241 "," 2,674 "," 2,649 ", -   ," 2,657 "," 3,152 "," 3,148 ", - ," 2,692 "," 2,443 "," 2,448 "," 2,708 "," 3,275 "," 3,188 "," 3,204 "," 2,672 "," 3,199 "," 2,983 "," 3,012 "," 2,221 "," 3,050 "," 2,810 "," 2,837 "," 2,734 "," 1,894 "," 3,030 "," 2,897 "," 2,077 "," 2,039 "," 2,227 "," 2,194 ", - ," 2,328 "," 2,167 "," 2,169 ",-,4464,2544,2602
MATARA,-,-,-,"2,185",-,-,-,"2,155",-,-,-,"2,443",-,-,-,"2,134",-,-,-,"2,249","3,046","2,353","2,247","2,398","2,701","2,509","2,378","2,459","3,062","3,027","2,441","2,676","2,757","2,586","2,404","2,503","3,385","3,070","2,728","2,948","3,233","3,146","2,452","2,721","4,081","2,023","2,868","3,145","2,897","2,248","2,135","2,307","2,806","2,738","2,622","2,689","2,761","2,596","2,642","2,658","3,290","2,945","2,708","2,901","3,518","2,726","2,525","2,804","3,195","2,868","2,551","2,771","2,758","2,737","2,662","2,701","3,509","3,475","2,972","3,215","4,197","3,855","3,614","3,792","3,987","3,614","3,513","3,639","3,599","3,411","3,206","3,341","3,186","2,908","2,898","2,962","3,207","2,857","2,646","2,818","4,188","3,716","3,390","3,652"," 4,060 "," 3,295 "," 2,794 "," 3,219 "," 3,702 "," 3,324 "," 3,556 "," 3,550 "," 4,104 "," 3,804 "," 3,493 "," 3,712 "," 4,263 "," 3,679 "," 3,553 "," 3,755 "," 4,167 "," 3,624 "," 3,405 "," 3,628 "," 3,823 "," 3,263 "," 3,297 "," 3,415 "," 3,831 "," 3,275 "," 3,086 "," 3,299 "," 3,602 "," 2,845 "," 2,875 "," 3,050 "," 4,170 "," 3,242 "," 3,203 "," 3,475 "," 4,861 "," 2,883 "," 2,949 "," 3,398 "," 4,529 "," 3,406 "," 3,726 "," 3,861 "," 3,558 "," 3,525 "," 3,953 "," 3,719 "," 3,841 "," 3,333 "," 3,340 "," 3,491 "," 4,717 "," 3,399 "," 3,478 "," 3,866 "," 3,577 "," 3,048 "," 3,100 "," 3,240 "," 3,855 "," 3,491 "," 3,425 "," 3,573 "," 3,977 "," 3,869 "," 3,489 "," 3,727 "," 2,984 "," 2,502 "," 2,690 "," 2,730 "," 3,573 "," 2,930 "," 2,775 "," 2,999 ",3166,3003,2745,2936
