,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvested extent: Hectares,,
District,1978/1979,,,,1979/1980,,,,1980/1981,,,,1981/1982,,,,1982/1983,,,,1983/1984,,,,1984/1985,,,,1985/1986,,,,1986/1987,,,,1987/1988,,,,1988/1989,,,,1989/1990,,,,1990/1991,,,,1991/1992,,,,1992/1993,,,,1993/1994,,,,1994/1995,,,,1995/1996,,,,1996/1997,,,,1997/1998,,,,1998/1999,,,,1999/2000,,,,2000/2001,,,,2001/2002,,,,2002/2003,,,,2003/2004,,,,2004/2005,,,,2005/2006,,,,2006/2007,,,,2007/2008,,,,2008/2009,,,,2009/2010,,,,2010/2011,,,,2011/2012,,,,2012/2013,,,,2013/2014,,,,2014/2015,,,,2015/2016,,,,2016/2017,,,,2017/2018,,,,2018/2019,,,,2019/2020,,,,2000/2021,,,,2021/2022,,,,2022/2023,,,,2023/2024,,,
,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total
COLOMBO,-,-,-,"7,059",-,-,-,"7,006",-,-,-,"6,928",-,-,-,"7,063",-,-,-,"6,987",-,311,"6,370","6,681",-,637,"6,010","6,647",-,784,"5,663","6,447",-,955,"5,505","6,460",-,925,"5,237","6,162",-,911,"5,339","6,250",-,903,"5,523","6,426",-,856,"5,488","6,344",-,853,"5,458","6,311",-,479,"5,531","6,010",-,535,"5,242","5,777",-,508,"5,057","5,566",62,438,"4,791","5,291",74,429,"4,778","5,282",110,711,"4,515","5,337",84,"1,367","3,454","4,905",100,"1,284","3,174","4,559",97,"1,091","2,948","4,136",90,"1,272","3,132","4,494",25,"1,025","3,394","4,444",86,"1,094","3,245","4,425",85,"1,141","3,365","4,592",100,"1,085","3,231","4,416",52,747,"2,550","3,349",84,805,"2,879","3,767",117,970,"3,418","4,504",119,"1,010","3,634","4,763",100,967,"3,558","4,625",105,"2,114","2,397","4,616",87,973,"3,002","4,062",65,896,"2,765","3,726",43,714,"2,725","3,482",43,624,"2,221","2,888",48,506,"1,687","2,241",296,760,"2,127","3,183",306,718,"2,208","3,232",256,558,"2,050","2,864",307,727,"2,821","3,855",324,710,"2,777","3,811",388,637,"3,186","4,211",321,638,"2,689","3,648"
GAMPAHA,-,-,-,"16,334",-,-,-,"16,312",-,-,-,"16,695",-,-,-,"16,588",-,-,-,"16,821","2,192","2,108","11,969","16,269","2,166","2,102","12,090","16,358","2,017","1,888","11,833","15,739","1,885","1,911","11,089","14,885","1,654","2,331","9,953","13,939","1,512","2,662","9,855","14,029","1,627","2,496","10,633","14,756","1,506","2,296","10,122","13,924","1,361","2,051","9,581","12,992","1,470","4,038","8,730","14,238","1,412","2,076","10,034","13,521",927,"1,845","9,164","11,936",733,"1,580","8,790","11,103",820,"1,809","9,598","12,227",922,"1,438","9,442","11,802",756,"1,286","8,743","10,785",777,"1,171","8,073","10,020",683,"1,016","7,237","8,936",697,"1,169","7,676","9,542","1,132","1,214","7,648","9,994","1,070","1,090","7,366","9,526","1,191","1,170","7,809","10,170","1,213","1,071","7,469","9,753",926,853,"6,311","8,091","1,211","1,238","6,879","9,328","1,556","2,208","6,914","10,678","1,822","3,097","7,545","12,464","1,924","3,295","7,812","13,032","1,530","2,513","6,290","10,333","1,758","3,380","6,015","11,153","1,665","3,500","5,471","10,636","1,577","3,479","5,918","10,974","1,617","3,201","5,165","9,983",735,"1,715","2,548","4,998","1,469","3,485","5,562","10,516","1,577","3,278","5,236","10,091","1,461","3,231","4,871","9,563","1,841","4,038","6,477","12,356","1,556","3,036","6,610","11,202","1,847","2,127","8,275","12,249","1,517","1,614","7,275","10,406"
KALUTARA,-,-,-,"18,364",-,-,-,"18,636",-,-,-,"19,054",-,-,-,"18,769",-,-,-,"18,348",515,"2,367","16,324","19,206",501,"2,925","16,159","19,585",488,"2,886","15,923","19,297",495,"2,870","15,541","18,906",411,"2,868","14,600","17,879",448,"2,902","14,446","17,796",432,"2,847","14,548","17,827",416,"2,814","14,688","17,918",396,"2,724","14,642","17,762",212,"2,202","14,287","16,702",222,"2,229","14,212","16,663",236,"2,220","14,202","16,659",237,"2,169","14,036","16,442",193,"2,208","13,932","16,333",214,"1,785","13,356","15,355",194,"1,674","13,506","15,374",188,"1,655","13,304","15,146",170,"1,681","13,207","15,058",157,"1,681","12,960","14,798",90,"1,880","11,444","13,414",98,"1,915","11,384","13,397",93,"1,936","11,581","13,610",93,"1,885","11,182","13,160",74,"1,628","9,728","11,431",109,"1,991","11,376","13,476",128,"2,112","12,396","14,637",133,"2,194","12,963","15,289",130,"2,151","12,723","15,005",114,"2,094","11,866","14,074",93,"2,310","11,179","13,582",96,"2,158","10,437","12,691",118,"2,165","10,709","12,992",128,"1,860","9,734","11,722",98,"1,384","7,352","8,834",143,"1,410","9,486","11,039",115,"1,346","8,831","10,292",107,"1,303","8,080","9,490",220,"1,662","11,028","12,910",129,"1,544","9,893","11,566",139,"1,417","11,515","13,071",75,"1,461","9,957","11,493"
KANDY,-,-,-,"22,141",-,-,-,"22,288",-,-,-,"22,324",-,-,-,"17,987",-,-,-,"19,353","3,676","7,932","7,504","19,112","3,615","7,596","7,361","18,572","3,654","7,746","7,504","18,904","4,081","7,841","6,326","18,248","4,099","7,990","6,863","18,952","4,103","8,007","6,912","19,023","4,093","8,108","6,914","19,115","4,093","8,137","6,913","19,143","4,084","6,634","5,770","16,487","3,480","7,147","6,602","17,230","3,550","6,987","6,498","17,034","3,573","6,857","6,658","17,088","3,496","6,938","6,481","16,916","3,542","6,970","6,290","16,802","3,485","8,186","4,564","16,235","3,535","6,692","5,722","15,949","3,373","6,286","5,517","15,176","4,114","6,283","5,203","15,600","4,103","6,165","5,175","15,442","3,858","5,616","4,440","13,914","4,029","5,120","3,551","12,700","4,034","5,394","4,098","13,526","3,859","4,993","3,744","12,595","3,894","4,955","3,189","12,039","4,136","5,528","3,788","13,453","4,121","5,627","3,746","13,495","4,138","5,751","3,936","13,826","4,155","5,508","3,193","12,856","4,158","5,494","3,044","12,697","4,089","5,426","2,430","11,944","4,107","5,244","2,472","11,823","4,119","5,430","2,516","12,065","4,132","5,160","2,441","11,733","3,536","3,540","1,224","8,300","4,214","4,802","1,826","10,842","4,244","4,779","2,049","11,072","4,200","4,793","2,000","10,993","4,242","5,292","2,650","12,184","4,268","5,176","2,757","12,201","4,360","5,669","3,143","13,172","4,365","5,470","2,983","12,818"
MATALE,-,-,-,"13,294",-,-,-,"13,249",-,-,-,"14,298",-,-,-,"8,813",-,-,-,"13,716","4,196","6,924","2,976","14,096","4,657","7,025","3,631","15,333","4,623","7,134","3,755","15,512","4,236","6,529","2,530","13,295","4,269","6,511","2,946","13,726","3,838","5,874","2,568","12,280","4,354","7,137","3,169","14,660","4,396","6,865","3,017","14,277","4,299","6,672","2,998","13,969","4,507","6,713","3,664","14,884","4,449","6,734","3,698","14,881","4,428","6,582","3,761","14,771","4,484","6,196","3,409","14,089","4,464","5,326","1,673","11,462","4,840","7,598","3,513","15,952","4,801","6,278","2,520","13,598","4,799","6,328","2,733","13,860","4,636","5,675","2,378","12,688","4,906","5,759","2,649","13,314","5,119","6,971","3,463","15,554","5,082","5,959","2,656","13,697","5,328","7,095","3,361","15,783","5,144","7,206","3,523","15,874","4,745","6,975","3,469","15,189","6,021","8,360","4,497","18,878","5,987","8,504","4,468","18,958","6,294","8,962","4,832","20,088","6,321","8,488","4,756","19,565","6,234","8,290","4,561","19,086","6,908","8,940","5,160","21,008","6,538","7,174","3,377","17,089","6,679","8,573","4,748","20,000","6,725","8,239","4,760","19,724","4,608","2,571",869,"8,048","6,900","6,179","2,887","15,966","7,192","7,521","4,134","18,847","6,846","7,044","4,496","18,386","7,301","7,218","4,363","18,882","7,593","7,815","4,512","19,920","7,657","8,190","4,416","20,263","7,332","7,106","4,358","18,796"
NUWARA ELIYA,-,-,-,"4,570",-,-,-,"4,628",-,-,-,"4,726",-,-,-,"7,214",-,-,-,"7,192","1,021","5,499",247,"6,767","1,178","5,616",207,"7,001","1,083","5,483",180,"6,746","1,103","5,220",72,"6,395","1,122","5,150",81,"6,353","1,122","5,174",85,"6,381",945,"5,065",104,"6,114",938,"5,111",115,"6,165",920,"5,079",108,"6,107","1,050","4,873",134,"6,057","1,170","4,999",84,"6,254","1,162","4,952",88,"6,201","1,161","4,881",69,"6,111","1,109","4,342",62,"5,513","1,354","4,973",143,"6,470","1,376","5,028",139,"6,543","1,320","4,806",129,"6,255","1,285","4,595",105,"5,985","1,290","4,600",432,"6,322","1,176","4,300",136,"5,612","1,238","3,728",122,"5,088","1,233","4,405",121,"5,759","1,244","4,569",121,"5,934","1,020","4,190",121,"5,331","1,191","4,224",212,"5,627","1,126","4,233",208,"5,567","1,119","4,263",202,"5,583","1,100","4,276",196,"5,572","1,073","4,206",196,"5,475","1,015","4,373",29,"5,418",914,"4,085",26,"5,025","1,137","4,054",19,"5,210",995,"3,854",17,"4,866",995,"3,316",11,"4,322",851,"3,824",29,"4,704",843,"3,799",18,"4,660",420,"1,310",5,"1,735",865,"4,004",8,"4,877",900,"4,126",8,"5,034",877,"4,059",17,"4,953",709,"3,802",13,"4,524"
GALLE,-,-,-,"18,673",-,-,-,"18,188",-,-,-,"19,293",-,-,-,"20,197",-,-,-,"20,420",-,21,"20,143","20,164",-,25,"19,958","19,981",-,98,"20,380","20,478",-,98,"19,909","20,007",-,97,"19,847","19,944",-,97,"19,966","20,063",-,115,"19,287","19,403",-,114,"19,431","19,545",-,115,"19,506","19,621",-,48,"18,607","18,655",-,49,"18,404","18,453",-,49,"17,525","17,573",-,49,"17,140","17,189",-,49,"17,406","17,454",-,121,"17,054","17,176",-,124,"16,869","16,992",-,122,"16,454","16,576",-,121,"15,610","15,731",-,120,"15,852","15,971",-,186,"15,374","15,561",-,126,"13,213","13,339",-,174,"13,769","13,943",-,175,"13,905","14,079",-,144,"12,226","12,370",-,108,"14,543","14,652",-,122,"15,527","15,649",-,151,"16,991","17,142",88,142,"16,442","16,673",88,109,"15,720","15,917",102,723,"13,200","14,024",98,656,"11,856","12,610",85,603,"12,411","13,099",66,471,"9,581","10,118",66,244,"7,777","8,087",201,"2,126","8,398","10,725",196,"1,509","6,603","8,308",205,"1,448","6,286","7,939",248,"2,163","10,935","13,346",144,"1,706","9,071","10,921",-,215,"11,795","12,010",-,122,"6,701","6,823"
MATARA,-,-,-,"18,839",-,-,-,"19,746",-,-,-,"19,806",-,-,-,"20,192",-,-,-,"18,805","3,318","3,294","13,096","19,708","3,406","3,777","11,907","19,090","3,269","3,756","11,144","18,169","3,434","4,111","11,379","18,924","3,107","4,026","10,758","17,891","3,276","4,261","11,275","18,813","3,894","4,394","10,925","19,213","3,968","3,914","10,255","18,136","4,126","4,151","10,970","19,247","4,279","4,073","10,564","18,917","4,175","3,902","10,265","18,342","4,189","3,806","10,113","18,108","4,265","3,460","9,992","17,717","4,312","3,656","10,037","18,005","3,883","3,618","9,674","17,175","3,889","3,596","9,662","17,147","3,883","3,519","9,418","16,820","4,012","3,526","9,555","17,092","3,507","3,454","8,252","15,213","3,316","2,547","8,126","13,989","3,357","2,419","8,013","13,789","3,610","2,752","8,333","14,695","3,541","2,899","8,228","14,667","3,034","2,533","7,291","12,858","3,587","3,025","8,230","14,842","3,907","3,200","8,680","15,787","3,653","3,298","8,861","15,811","3,203","3,160","8,152","14,515","3,620","3,153","8,404","15,177","3,705","3,277","7,630","14,613","3,570","3,222","7,055","13,847","3,688","3,275","7,341","14,304","3,206","2,645","5,997","11,848","3,380","2,817","5,312","11,509","4,087","3,210","6,150","13,447","4,005","3,058","5,738","12,801","3,855","2,697","5,044","11,596","4,264","3,170","6,495","13,929","4,105","2,963","6,110","13,178","3,779","4,199","6,485","14,463","2,448","2,691","5,062","10,201"
