,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvested extent: Hectares,,
District,1979,,,,1980,,,,1981,,,,1982,,,,1983,,,,1984,,,,1985,,,,1986,,,,1987,,,,1988,,,,1989,,,,1990,,,,1991,,,,1992,,,,1993,,,,1994,,,,1995,,,,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,,,
,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total
COLOMBO,-,-,-,"3,550",-,-,-,"5,667",-,-,-,"6,106",-,-,-,"5,719",-,-,-,"2,540",-,210,"5,297","5,507",-,408,"4,297","4,785",-,713,"4,939","5,651",-,540,"3,286","3,826",-,732,"4,406","5,138",-,499,"3,043","3,542",-,721,"4,097","4,819",-,690,"4,068","4,758",-,248,"1,514","1,762",-,161,"1,940","2,101",-,408,"3,237","3,645",-,252,"1,653","1,905",40,83,"1,132","1,255",20,142,"1,532","1,695",23,91,297,412,82,927,"2,370","3,380",65,265,746,"1,076",25,244,685,954,54,517,"1,395","1,966",8,417,"1,224","1,649",23,255,779,"1,057",63,578,"1,616","2,257",16,65,374,456,39,171,668,878,103,763,"2,942","3,809",87,782,"2,734","3,603",79,510,"2,067","2,656",80,434,"1,829","2,343",56,187,663,906,37,295,915,"1,247",23,179,776,978,39,242,"1,021","1,302",5,113,280,398,23,218,667,908,130,202,842,"1,174",91,120,577,788,319,586,"2,314","3,219",253,319,"1,776","2,348",287,382,"2,211","2,880",208,278,"1,729","2,215",178,163,"1,197","1,538"
GAMPAHA,-,-,-,"6,744",-,-,-,"8,954",-,-,-,"10,445",-,-,-,"10,883",-,-,-,"3,817","1,601","1,180","9,490","12,271","1,645","1,187","3,274","12,106","1,244",795,"7,971","10,010","1,368","1,163","7,880","10,411","1,306","1,888","8,319","11,513",626,"1,214","5,088","6,928","1,076","1,711","8,451","11,238","1,003","1,465","8,148","10,615",666,852,"4,587","6,105",590,718,"4,313","5,621",610,743,"4,863","6,216",167,293,"2,394","2,854",88,183,"1,001","1,272",245,270,"1,737","2,252",203,154,"1,023","1,380",351,449,"2,785","3,585",226,271,"1,407","1,904",232,246,869,"1,347",212,255,"1,173","1,640",707,463,"3,218","4,388",571,192,"1,021","1,784",793,347,"2,268","3,408",409,64,628,"1,102",446,112,"1,837","2,395","1,359","1,314","4,796","7,470","1,665","2,061","4,369","8,095","1,634","2,187","3,989","7,810","1,471","1,453","2,525","5,449","1,182","1,051","1,325","3,558","1,389","1,420","1,904","4,713","1,325","1,567","2,120","5,012","1,382","1,362","1,832","4,576",841,384,650,"1,875",830,598,"1,168","2,596","1,244","2,004","2,518","5,766",738,"1,496","1,949","4,183","1,655","3,429","4,916","10,000","1,114","2,442","4,936","8,492","1,744","2,887","5,205","9,836","1,454","1,474","5,539","8,467","1,077",940,"3,715","5,732"
KALUTARA,-,-,-,"16,372",-,-,-,"16,996",-,-,-,"17,948",-,-,-,"15,968",-,-,-,"11,349",398,"1,940","13,297","15,635",414,"2,529","13,024","15,967",418,"2,540","13,527","16,485",397,"2,287","11,723","14,407",350,"2,601","12,857","15,808",363,"2,616","12,995","15,974",367,"2,584","13,232","16,183",252,"2,456","12,489","15,198",176,"2,167","10,978","13,321",131,"1,860","11,250","13,241",146,"1,925","12,332","14,402",110,"1,751","10,840","12,701",56,"1,652","9,992","11,700",47,"1,566","9,898","11,510",113,"1,266","7,614","8,993",138,"1,503","10,829","12,470",132,"1,561","11,115","12,807",146,"1,579","11,297","13,022",135,"1,495","10,867","12,497",81,"1,559","9,126","10,766",30,"1,370","7,740","9,140",73,"1,668","9,705","11,446",22,"1,351","8,012","9,385",44,"1,102","5,968","7,114",96,"1,661","9,092","10,849",126,"2,027","10,709","12,863",131,"1,874","9,930","11,935",113,"1,781","9,500","11,394",72,"1,053","6,091","7,216",64,"1,243","5,598","6,906",64,"1,160","5,037","6,260",99,"1,373","6,283","7,755",38,471,"2,277","2,786",102,941,"4,592","5,635",96,887,"5,125","6,108",98,762,"3,882","4,742",167,"1,571","9,854","11,592",162,"1,360","7,907","9,429",136,"1,502","9,023","10,661",112,"1,090","7,913","9,115",53,720,"5,166","5,939"
KANDY,-,-,-,"15,155",-,-,-,"16,291",-,-,-,"13,934",-,-,-,"14,918",-,-,-,"8,851","3,391","4,783","6,115","14,289","3,557","4,959","5,878","14,154","3,389","5,356","6,598","15,343","3,850","5,649","4,376","13,875","3,828","6,072","5,372","15,273","3,835","5,869","4,785","14,489","3,851","6,061","6,190","16,102","3,860","5,978","4,972","14,811","3,862","4,970","4,934","13,766","3,273","4,294","4,471","12,038",203,"4,224","4,484","8,912","3,221","4,202","4,761","12,184","3,226","3,662","3,236","10,124","3,193","3,783","4,120","11,096","3,253","3,148","1,145","7,546","3,202","3,492","4,071","10,764","3,388","2,953","1,999","8,340","3,857","3,399","2,810","10,066","3,701","3,226","3,054","9,981","3,831","2,821","2,999","9,651","3,756","2,585","1,681","8,022","3,827","2,647","2,300","8,774","3,796","2,595","1,501","7,893","3,728","2,230","2,096","8,054","4,073","3,917","3,626","11,617","3,714","3,279","2,192","9,185","3,725","3,409","2,969","10,103","3,639","3,059","2,245","8,943","3,053","1,876",460,"5,389","3,749","2,843","1,846","8,439","3,713","2,780","1,618","8,110","3,880","2,934","1,731","8,545","3,858","2,489","1,205","7,552","3,645","1,943",631,"6,219","2,213","2,630","1,489","6,332","3,647","1,465",705,"5,817","3,700","3,047","2,056","8,803","3,934","3,109","2,213","9,256","4,135","3,437","2,517","10,089","4,196","3,266","2,399","9,861","4,176","2,739","1,925","8,840"
MATALE,-,-,-,"5,838",-,-,-,"4,750",-,-,-,"4,220",-,-,-,"3,726",-,-,-,"3,314","1,333","3,568",937,"5,839",846,"2,718",788,"4,292","2,415","3,022",715,"6,153","1,156","1,718",169,"3,043","2,514","3,112",605,"6,232","2,089","1,933",280,"4,302","2,469","2,951",698,"6,117","1,448","2,293",420,"4,161",547,"2,601",281,"3,429","1,664","2,073",495,"4,232",379,"2,211",537,"3,127","1,636","2,430",562,"4,628","1,551","1,856",282,"3,689","2,155","2,163",430,"4,748","2,956","2,538",345,"5,838","2,923","2,737",562,"6,222","3,036","2,675",408,"6,119","3,136","2,636",401,"6,173","3,058","2,660",424,"6,142","2,811","2,988",640,"6,439","1,878","1,947",249,"4,074","2,140","2,703",434,"5,276","3,749","2,965",554,"7,268","2,836","2,135",555,"5,526","5,374","5,077","1,424","11,874","2,533","3,132",499,"6,163","5,227","4,815",676,"10,718","4,984","4,908",715,"10,607","2,001","2,681",478,"5,160","4,999","3,780",514,"9,292","3,113","2,828",354,"6,295","5,385","4,071",696,"10,152","4,377","2,758",229,"7,364","3,339","1,628",171,"5,138","3,753","3,458",502,"7,713","3,366",922,204,"4,492","5,076","2,751",382,"8,209","6,997","4,473",855,"12,325","6,520","5,045","1,118","12,683","6,771","4,039",756,"11,566","6,653","3,491",525,"10,669"
NUWARA ELIYA,-,-,-,"1,963",-,-,-,"2,054",-,-,-,"3,550",-,-,-,"4,009",-,-,-,"2,961",677,"2,846",42,"3,566",589,"3,022",13,"3,624",585,"2,895",20,"3,500",670,"3,047",2,"3,719",670,"3,069",11,"3,749",656,"3,065",15,"3,736",543,"2,782",-,"3,325",456,"2,688",-,"3,144",437,"2,599",-,"3,036",775,"2,260",-,"3,035",773,"2,263",-,"3,036",701,"2,242",-,"2,943",348,"2,176",-,"2,523",696,"2,159",24,"2,879",647,"1,916",18,"2,581",519,"1,670",10,"2,199",504,"1,596",12,"2,112",508,"1,732",11,"2,251",462,"1,573",10,"2,045",395,"1,314",40,"1,749",470,"1,456",38,"1,964",435,"1,422",36,"1,893",449,"1,401",34,"1,883",454,"1,577",34,"2,066",445,"1,563",37,"2,045",653,"2,154",51,"2,858",673,"2,223",64,"2,960",662,"2,195",64,"2,921",159,964,16,"1,139",385,"1,439",8,"1,832",414,"1,423",2,"1,839",507,"1,647",3,"2,157",445,"1,568",2,"2,015",279,862,1,"1,142",487,"2,012",6,"2,505",263,"1,224",-,"1,487",824,"3,579",3,"4,406",490,"2,082",1,"2,573",638,"2,231",2,"2,871",520,"1,913",3,"2,436",427,"1,693",11,"2,131"
GALLE,-,-,-,"17,968",-,-,-,"16,594",-,-,-,"19,297",-,-,-,"18,423",-,-,-,"8,409",-,21,"19,117","19,138",-,23,"19,625","19,648",-,98,"20,197","20,295",-,96,"14,569","14,665",-,95,"19,616","19,711",-,94,"16,395","16,489",-,115,"18,224","18,339",-,106,"17,476","17,583",-,74,"10,085","10,159",-,39,"14,686","14,725",-,49,"16,954","17,002",-,44,"11,672","11,716",-,49,"12,542","12,591",-,43,"9,229","9,272",-,13,"1,478","1,490",-,115,"13,298","13,413",-,62,"11,322","11,384",-,41,"6,470","6,511",-,91,"11,609","11,700",-,144,"10,446","10,590",-,31,"7,476","7,507",-,61,"9,275","9,336",-,27,"4,869","4,895",-,36,"5,803","5,840",-,83,"13,427","13,510",-,63,"13,020","13,084",85,54,"11,546","11,685",70,24,"10,451","10,545",4,6,"4,167","4,177",24,203,"3,823","4,050",-,161,"4,606","4,767",10,299,"4,816","5,125",0,10,"1,170","1,180",-,98,"4,752","4,850",6,766,"3,172","3,944",15,380,"2,275","2,670",293,"1,949","8,673","10,915",97,953,"7,276","8,326",202,"1,654","8,566","10,422",-,80,"4,944","5,024",-,115,"3,646","3,761"
MATARA,-,-,-,"17,760",-,-,-,"16,732",-,-,-,"18,769",-,-,-,"17,165",-,-,-,"13,321","3,180","3,021","12,324","18,525","2,912","3,639","10,936","17,487","3,320","3,916","10,627","17,863","2,192","3,597","8,749","14,538","2,806","4,087","10,639","17,532","3,053","3,558","9,435","16,046","3,552","4,181","10,152","17,885","2,792","3,445","8,402","14,640","3,224","3,112","7,953","14,289","3,457","3,584","8,579","15,622","4,241","3,520","9,372","17,133","3,766","3,163","8,749","15,678","3,655","3,134","8,408","15,198","3,284","3,160","8,554","14,997","2,960","2,482","5,974","11,416","3,323","3,360","8,484","15,167","3,594","3,579","9,203","16,376","3,352","3,221","8,085","14,658","2,786","2,930","7,294","13,010","3,253","2,394","7,749","13,396","3,517","2,594","7,795","13,906","3,628","2,801","7,673","14,103","2,920","2,105","6,390","11,415","3,184","2,970","6,964","13,118","3,922","3,332","8,658","15,912","3,616","3,231","8,691","15,538","3,683","3,237","8,547","15,467","3,574","3,206","8,592","15,372","3,010","2,728","6,296","12,034","3,074","2,610","5,610","11,294","2,723","2,856","5,596","11,175","3,290","2,906","6,505","12,701","2,094","1,526","2,714","6,334","3,554","2,836","5,246","11,636","3,965","2,945","5,152","12,062","2,806","2,098","3,846","8,750","4,168","3,213","6,118","13,499","4,218","3,250","6,394","13,862","3,811","3,143","6,118","13,072","2,201","2,697","4,811","9,709","2,896","3,178","4,575","10,649"
